No,Gender,Hair Color,No. of Books in Backpack,Age,Daily Hours of Sleep,Height (ft),Transportation to school,GPA,Credit Units this Term,Daily Amount of Studying (Hrs),Shoe Size,No. of Siblings,Pets?,Kind,Letters in Last Name,Favorite Ice Cream,Favorite Color,Like Mathematics?,No. of Previous Mathematics Courses Since Highschool,No. of Best Friends,Daily Cell Phone Usage (Hrs),Daily TV Usage (Hrs),Daily Game Play (Hrs),No. of Times Singing Daily,Daily Exercise (Hrs),No. of Times Drinking Coffee/Tea Daily,No. of Books Read During Summer,No. of Instruments Played,Do You Like Your Group So Far?
1,F,Black,1,25,8,"5'2""",Car,3.9,11,4-Feb,5,1,0,,9,Chocolate Chip,Black,Y,5,5,8,2,N/A,3,1,3,2,0,Y
2,M,Black,2,19,4,"5'6""",Car,-,13,-,9.5,2,1,Dogs,8,Vanilla,-,-,1,-,4,1,1,-,2,1,0,1,Y
3,F,Brown,0,18,10,"5'4""",Car,3.4,12,0,4.5,2,3,Dogs,9,Vanilla,Black,Neutral,0,1,2,0,0,Alot,0,0,0,0,Y
4,F,Black,0,18,6,"5'0""",Car,3.2,14,2,6.5,1,1,Dogs,8,Oreo,Red,Neutral,1,3,Alot,0,0,10-May,2,0-1,0,2,Y
5,M,Black/Brown,0,16,8,"5'4""",Bus/Car,-,12+,0-2,9,2,1,Dogs,5,None,Black,Y,0,2,3-Feb,0,0,10+,2-Jan,0,5+,2,Y
6,F,Brown,0,25,6.5,"5'5""",Car,2,12,6,8.5,1,1,Dogs,5,Cookies and Cream,Black,Neutral,1,1,8+,0,0,8,2,-,0,0,Y
7,M ,Brown,2,18,7,"5'10""",Car,2.9,11,3-Feb,10,1,2,Dogs,6,Mint Chip,Blue,Neutral,0,1,7-Jun,4,0,20,2,0,0,0,Y
8,M,Black,1,18,8,"5'10""",-,3.3,8,-,8,2,0,-,7,Vanilla,Blue,Neutral,4,5,6,3,0,2,2,0,1,0,Y
9,M,Black,1,17,6,"5'8""",Car,3.6,14,4-Jan,9,2,0,,5,Vanilla,Blue,Neutral,0,5,5,3,1,0,2-Jan,0,0,0,Y
10,F,Black,2,27,8,5.8,Car,-,12,2,7.5,4,1,Dogs,10,Vanilla,Purple,Neutral,3,2,4,2,0,0,1,1,0.5,0,Y
